name,qid,gender
Bruto Ferrandini,,
Cesare Simonetti,,
Giambatista Casalio,,
Giovanni de Nobili,,
Luca Pastronicchi,,
Cardinale Albani e Abate Filippo,,
Cristoforo Castelletti,Q47193241,male
Giovanni Andrea Spinola,Q3766409,male
Baldassarre Bonifacio,Q3633250,male
Bartolomeo Tortoletti,Q30308589,male
Pietro Paolo Todini,,
Simone Gralli,,
Simone Grassi,,
Francesco Maria Piccioli,Q102287540,male
Giuseppe Fivizzani,,
Francesco Mazzari,,
Giuseppe Grandini,,
Sebastiano Lazzarino,,
Ambrosio Borghesi,,
Enrico Altan,Q110215095,male
Tommaso Bonvicini,,
Giovanni Battista Seriasi,,
Luigi Manzini,Q18736532,male
Giovanni Donato Cucchetti,,
Bastiano di Francesco,Q3636100,male
Jacopo Nardi,Q352569,male
Vincenzo Panciatichi,,
Pietro Mancusio,,
Alessandro Cencio,,
Pier Maria Cecchini,Q3902918,male
Carlo Maria Benestante Sifolo,,
Giovanni Andrea Moniglia,Q42534467,male
Lodovico Aleardi,Q98665892,male
Alessandro Gargeria,,
Giovan Francesco Peranda,,
Torquato Tasso,Q168962,male
Lorenzo Cavalieri,,
Cesare Cremonini,Q936308,male
Mario Calimeri,,
Filippo Striglioni,,
Domenico Veraldo,,
Leopardo Bontempo,,
Giuseppe Berneri,Q3770101,male
Scipione Dionisio,,
Francesco Antonio Mansella,,
Bernardino Vitale,,
Galvano Castaldi,,
Francesco Benedetti,Q3749615,male
Andrea Peruco,,
Ubaldino Malavolti,Q111034872,male
Nicola Giuseppe Prescimone,Q109877045,male
Tommaso Canati,,
Cajo Gnavio,,
Carlo Sigismondo Capece,Q357164,male
Giovan Battista Comito,,
Marc'Antonio Bassi,,
Domenico Lalli,Q1237180,male
Bartolommeo Pavieri,,
Antonio Pagano,,
Teodoro Mengozzi,,
Silvio Fiorillo,Q3960869,male
Cristoforo Ivanovich,Q3246893,male
Giovanni de Grassis,,
Carlo Torre,Q106622070,male
Giovanni Battista Fusconi,,
Giovanni Francesco Savaro,Q3767286,male
Margherita Costa,Q3846932,female
Gaetano Anselone,,
Pietro Antonio Bernardoni,Q31752320,male
Michele Stanchi,,
Mattia Maria Bartolomei,,
Nicola degli Angeli,,
Lorenzo Guidotti,,
Pio Enea degli Obizzi,,
Jacopo Cicognini,Q18945533,male
Giuliano Gosellini,Q21567853,male
Benedetto Zuzzato,,
Accademici Oziosi di Spoleto e Ottusi di Macerata,,
Giuseppe Maria Cesari,,
Michelangelo Boccardi,Q112462560,male
Domenico Gisberti,Q56006746,male
Antonio Maria Monti,Q108765669,male
Agostino Tortoletti,,
Vincenzo Del Giudice,Q63302093,male
Gaspare Bonifacio,,
Fulgenzio Maria Galazzi,,
Marco Miani,,
Giovanni Domenico Pioli,,
Girolamo Gigli,Q3768932,male
Carlo Celano,Q3659181,male
