name,qid,gender
Francesco Maria Guidoboni,,
Sforza degli Oddi,Q16268327,male
Accademici Desiderosi,,
Filippo Gaetani,Q5448716,male
Giulio Bastardi,,
Domenico Zaffi,,
Tito Franceschini,,
Giambattista Gelli,Q518160,male
Antonio Straticò,,
Mario Guarnacci,Q3293459,male
Michelangelo Carmeli,Q4215450,male
Stefano Benedetto Pallavicino,Q321084,male
Giovanni Balcianelli,,
Guseppe Gorin,,
Agostino Luzzago,,
Giambatista Oddone,,
Pietro degli Angeli,Q3388211,male
Giovanni Andrea dell' Anguillara,Q3107000,male
Emanuele Tesauro,Q1334915,male
Orsato Giustiniano,,
Eubeno Buprattio,,
Lorenzo Longo,Q110215294,male
Cristoforo Montanini,,
Giambattista Uberti,,
Leonardo di Mess. Ambrogio,,
Andrea Calmo,Q352272,male
Federigo dal Corno,,
Giacomo Badoaro,Q3761981,male
Gasparo Gozzi,Q1232500,male
Erasmo de' Conti,,
Luigi Antonio Sabbatini,Q1703008,male
Cinto Aldimacchio,,
Fernando Leva,,
Giuseppe Murino Menna,,
Michele Sagramoso,,
Fabio Closio,,
Francesco Giovanni Antonio Bianchi,,
Niccolò Crasso,,
Andrea Ciccione,Q3615609,male
Francesco Rasi,Q363011,male
Giovanni Mario Crescimbeni,Q766828,male
Antonio Cariola,,
Marc'Antonio Catania,,
Francesco Antonio Rocco Ernandez,,
Gismondo Florio,,
Francesco Fulvio Frugoni,Q3750016,male
Tommaso Piatti,,
Rafaello Tauro,,
Giovanni Cesare Godi,,
Giovanni Andrea Zanotti,,
Dionisio di Napoli,,
Giovanni Agostino Cazza,,
Domizio Camerota,,
Bernardo Morando,Q30279409,male
Tenebroso,,
Maiolino Bisaccioni,Q21636115,male
Onorio Fabert,,
Guido Bellagra,,
Antonia Fontana,Q28801755,female
Gelio Valgemma,,
Giovanni Antonio Liberati,,
Pietro Sforza Pallavicino,Q1618919,male
Epifanio Gizzi,,
Giulio Leonardi,,
Quintiliano Crivelli,,
Favonio Ostiense,,
Cataldo Antonio Mannarino,Q3663234,male
Marc'Antonio Perillo,,
Pio Enea II Obizzi,Q3905362,male
Filippo Tomassini,,
Giovanni Cafora,,
Carlo Vigarani,Q2878912,male
Virginio Amoretti,,
Giulio Attolzi,,
Marc'Antonio Raimondo,,
Notturno napoletano,Q113255772,
Giacomo Cenci,Q110262718,male
Francesco Valentini,Q28800577,male
Pietro Buonfanti,Q61473992,male
Alessandro Calderoni,Q21548195,male
Francesco Ferrari,,
Federico Della Valle,Q2904654,male
Leon of Modena,Q1652176,male
Bonifacio Collina,Q60840343,male
Pier Cesare Larghi,,
Francesco Avola,,
Francesca Manzoni,Q17285111,female
Lotto Lotti,Q97575948,male
Tebaldo Fattorini,Q64686947,male
Antonio dall'Acqua,Q110928456,male
Vincenzo Piazza,Q114136973,male
Francesco Crispi,Q332626,male
Gaddo Gaddi,Q729041,male
Francesco Fallona,,
Castellano Castellani,Q55226628,male
Tommaso Giannini,Q55228222,male
Ambrogio Grigioni da Regello,,
Francesco Pisani,,
Girolamo Francesco Zanetti,Q27478552,male
Giovanni Antonio Bonardo Mangarda,,
Balduino di Monte Simoncelli,,
N. Guidant,,
Giuseppe Barlotta,,
Michelangelo Maria Ghiglione,,
Giovanni Angelo Altemps,Q55225064,male
Niccola Grasso,,
Lotto Del Mazza,Q109996872,male
Giovanni Maria Muti,Q97065196,male
Girolamo Barbieri,Q56073646,male
Agostino Gallini,,
Ercole Cimiloti,,
Giambattista Pianelli,,
Girolamo Bisaccione,,
Metello Chini,,
Giovanni Battista Marzi,Q24578772,male
Giovanni Francesco Saliti,Q112114816,male
Ercole Bentivoglio,,
Bastiano di Francesco Linajuolo,,
Antonio Maria Cartaio,,
Lorenzo Morari,,
Venturino Pisauro,,
Leonardo di Ser Ambrogio,,
Biagio Citanda,,
Illuminato Ferazzoli,,
Ottaviano Castelli,Q60843884,male
Girolamo Oddoni,,
Giambatista Romano Colonna,,
Prospero Tommasello,,
Tarlarini,,
Niccolò Altini,,
Luigi Pasqualigo,Q16932112,male
Fabbrizio Caraffa,,
Bartolomeo Paggi,,
Arcangelo Arcangeli,Q97066234,male
Bernardino Bonporto,,
Giovanna di Benedetto,,female
Pietro Barbieri,,
Francesco Bozza,Q105475882,male
Domenico Ortuso,,
Vincenzo Maria Veltroni,,
Angelo Filareti,,
Giambattista Guala,,
Moderata Fonte,Q457070,female
Vincenzo della Rena,,
Giuseppe Tancredi,,
Aurelio Corbellini,,
Bartolomeo Rossi,,
Antonio Mortaro,Q34934058,male
Orazio Serono,Q125160954,
Francesco Contarini,Q185348,male
Angelo Benigni,,
Francesco Podiani,Q121540888,
Ercole Pasquini,Q3731206,male
Alessandro Fellecchia,,
Michelangelo Buonarroti,Q1930983,male
Antonio Dionisi,,
Alfonso Torello,,
Giulio Cesare Canali,,
Antonia Tanini Pulci,Q18945018,female
Benigno Vadi Zonda,,
Ercole Pelliciari,,
Laura Guidiccioni,Q20005034,female
Domenico Maria Creta,,
Silvio Forteguerri,,
Enrico Antonio Verzelli,,
Pietro Giorgio Barziza,,
Gianpiero Lanzarini Bassanese,,
Antonio Bergoncini,,
Vincenzo Martinelli,,
Guido Baldo Bonarelli,Q2376577,male
Ercole Bonacossi,,
Marco Girolamo Vida,Q1340193,male
Acuto Accademico Rinnovato,,
Camillo della Valle,,
Pietro Matteacci,,
Cesare Zagaglia,,
Genserico dalle Biscie,,
Gaetano Zuanelli,Q64752420,male
Andrea Minelli,,
Giacomo Cicognini,,
Francesco Moderati,Q97572152,male
Pier Francesco Minacci,,
Francesco Luchi,,
Reginaldo Sgambati,,
Giuseppe Fianelli,,
Pietro Lippa Mattei,,
Lionardo de' Lionardis,,
Giacomo Badiale,Q107557073,male
Mattias Maria Bartolommei Smeducci,Q55225369,male
Flaminio Scala,Q387219,male
Lucius Livius,Q12285208,male
Carlo Ambrosi,,
Ardente Accademico Pietoso,,
Bernardino Moccia,,
Paolo Caggio,Q109837707,male
Niccolò Bellausa,,
Carlo Musarra,,
Francesco Righelli,,
Stefano Ghigi,,
Francesco Angeloni,Q1102576,male
Maddalena Campiglia,Q3842277,female
Andrea Salvadori,,
Novello Bonis,Q114593960,male
Giovanni Angelo Perucci,,
Antonio Vignali,Q15407381,male
Pietro Antonio Torriani,,
Alessandro Francucci,,
Massimo Celio,,
Corindo Corindo,,
Aniello Sarriano,,
Emilio Meli,,
Simone Carlo Rondinelli,,
Orazio Sorio,,
Publio Filippo Mantovano,Q60841494,male
Jacopo di Bientina,,
Giacomo Morri,,
Giambattista Salviati,,
Giuseppe Riccio,,
Giovanni Donato Lombardo,,
Lorenzo Burlini,,
Panicelli dell'Ordine de Minimi,,
Benedetto Lollio,,
Giovan Battista Testi,,
Malatesta Strinati,Q55280699,male
Francesco Cittadonio,,
Luca Raimondi,,
Anteo Samagas,,
Massimo Cammelli,,
Francesco Corte,,
Giambattista Seriati,,
Giovanni Battista Arigoni,,
Agostino Runco,,
Biagio Micalori,,
Carlo Sernicola,Q609811,male
Cesare Bianchetti Gambalunga,,
Matteo Pagani,,
Giuseppe Bernalli,,
Lorenzo Stellato,,
Raffaello Riccioli,,
Pomponio Torelli,Q3907904,male
Celso Zani,Q24035032,male
Giacomo Castellini,Q20747567,male
Antonio Cafora,,
Antomo Salva,,
Lorenzo Scotto,,
Carlo Fiamma,,
M. M. B. Accademico Offuscato,,
Vincenza Gabiani,,
Pier'Antonio Franceschi,,
Antonio Francesco Grazzini,Q602056,male
Angelo Gabrieli,Q117471963,male
Giuseppe Bigatti,,
Onorato Delfi,,
Domenico Ascavona,,
Goltivannio Salliebregno,,
Giovanni Pietro de' Negri,,
Anselmo Sansone,,
Accademico Sollevato,,
Antonio Eumaschi,,
Luigia Joèle,,female
Sottoginio Manasta,,
Lodovico Rota,Q109857541,male
Giovanni Battista Bertani,,
Cesare Abbelli,Q3665318,male
Antonio Maria di Francesco Cartaio,,
Francesco Giusti,Q74645859,male
Carlo Milanuzzi,Q1989583,male
Ambrogio Ruggero,,
Maria Clemente Ruoti,,female
Domenico Giupponi,,
Giulio Cesare Grazzini,Q118945040,male
Celestino Sinagra,,
Lodovico Cinque,,
Giovanni da Pistoja,,
Lorenzo Valerio,Q3259510,male
Niccolò Viti,,
Balduccio Angelini,,
Antonio Ghisilieri,Q41569760,male
Biasio Lauro dell'Amatrice,,
Tommaso Benci,Q88878452,male
Loise Oiele,,
Lorenzo de' Medici,Q177854,male
Paolo Saracino,,
Lelio Santa Maria,,
Galeotto Oddi,,
Padre di Colonia,,
Antonio Maria Anguisciola,,
Giacomo Buonaccorsi,,
Filocalo Caputo,,
Michelangelo,Q5592,male
Aniello Paulilli,,
Bernardo Sandrinelli,,
Prospero Liviano,,
Antonio Baldaga,,
Marcello Santini,Q114452055,
Giovanni Francesco Bussani,,
Luigi Orlandi,,
Pierpaolo Seta,,
Guido Casoni,Q3779222,male
Girolamo Tortoletti,,
Rubino Orlandi,,
Bonaventura Morone,Q3642052,male
Giulia Rangona,,female
Accademico Fisso,,
Francesco Sicola,,
Alberto Lavezzola,,
Salvatore Massonio,Q16599775,male
Lione Sanci,,
Melchior Bosli,,
Girolamo Manzone,,
Scannabecchi,,
Alfonso Colombo,,
G.B. D.A. E. C,,
Leonardo Salviati,Q3830435,male
Pietro Picini,Q61481305,male
Fabrizio Mirandola,,
Florio Tori,,
Stefano Serangeli,Q105274605,male
Giuseppe Bove,,
Paolo Mazzi,,
Ascanio Massimo,Q75359649,male
Andrea Baroncini,Q55225340,male
Giuseppe Artale,Q3770023,male
Matteo Agostini,,
Giambattista Bottalino,,
Maffio Venier,Q3843049,male
Pietro Parma,Q56562767,male
Orazio Navazzotto,,
Regolo Partini,,
Giovanni Battista Guarini,Q542039,male
Giovanni Filippo Apolloni,Q3767233,male
Scipione Bargagli,Q3952391,male
Stefano Cella,,
Pietro Riva,,
Fulvio Grati,,
Caracciol,,
Gian Rinaldo Carli,Q3762758,male
Antonio Ottaviano,,
Giovanni Benalio,,
Gabriele Brina,,
Fabrizio Niccolò Bezzi,,
Giacinto Maria Anti,,
Quinto Zane,,
Rinaldo Giangi,,
Ottavio Glorizio,Q55228374,male
Dario Sanzio,,
Giacomo Gemma,,
Carlo Volpe,,
Stefano Geronimi,,
Pietro Fido,,
Antonio Glielmo,Q55228373,male
Gandino Bolognese,,
Adamo Morselli,,
Q. M. V,,
Francesco Laccont,,
Francesco Piccoli,,
Giovanni Francesco Griffonelli,,
Daniello Geofilo Picigallo,,
Gaetano Massa,Q124647265,male
Adriano Politi,Q10266401,male
Curzio Gonzaga,Q3699724,male
Domenico Cornacchini,,
Lelio Maria Landi,,
Vincenzo Errante,Q4013245,male
Accademico Innominato de Raccolti,,
Marco Valdini,,
Brigida Bianchi,Q5733977,female
Giovanni Battista Danieli,,
Federico Gallesi,,
Antonio Serrovira,,
Orazio Francesco Ruberti,,
Zanobi Donnini,,
Francesco Guarini,,
Giovanni Battista dell’Ottonaio,Q17277722,male
Ferdinando Leto,,
Gabriello Gabrieli,,
Carlo Calcagnini,,
Veronica Maleguzzi Valeri,,female
Mariano Bruscato,,
Flamminio Terzi Lana,,
Francesco Alfonso di Sant'Antonio,,
Giusepe Casoli,,
Vincenzo Amati,,
Giangiuseppe Baviera,,
Tommaso Mahpiero,,
P. G.,,
Paolo Francesco Pallieri,,
Prospero Mandosio,Q3924132,male
Domenico Guglielmini,Q910092,male
Giovanni Paolo Pocobelli,,
Melchiorre Bosso,,
Giovanni Maria Pico,,
Girolamo Mattei,Q3107689,male
Giovan Battista Strozzi,Q16520779,male
Alvise Pasqualigo,,
Flaminio Guarnieri,Q109855782,male
Marc'Antonio Tornioli,,
Diofebe Agresti,,
Francesco Zazzara,,
Maria Costanza Pavin,,female
Giambattista Alberi,,
Gregorio de Monti,,
Vincenzo Giacobilli,,
Andrea Santa Maria,,
Ottaviano Zara,,
Carmeli,,
Giovanni Maria Milcetti,,
Valerio Mattiazzo,,
Giulio Pitti,,
Domenico de Sanctis,,
Ivan Perez,,
Gutteras della Valle,,
Francesco Briani,,
Vincenzo Amato,Q2526825,male
Giulio Pitu,,
Francesco Mondella,,
Giovanni Paolo Trapolini,,
Bernardino Pollipperi,,
Giambattista Mangione,,
Desioso Accademico Insipido,,
Giulio Cesare Castaldo,,
Giuseppe Ciampitelli,,
Antonio di Prezio,,
Francesco Mercati,Q109855804,male
Giovanni Battista Guizzardi,,
Giuseppe Vecchi,,
Bernardino Rigotto,,
Leonardo Cominelli,Q55914785,male
Bonetto Ghirardi,,
Accademici Sviati di Siena,,
Giuseppe Maria Cati,,
Bernardo Saracinelli,,
Filotheoro,,
F. N. B.,,
Donato Antonio Leonardi,Q93429606,male
Francesco del Teglia,,
Girolamo la Manna,,
Camillo Strozzi,,
Filadelfo Mugnos,Q1412431,male
Alessandro Guarini,Q109876838,male
Ottavio Bellia e Statella,,
Pietro Valerio,,
Niccolò da Ca Tajapiera,,
Niccolò Spranga,,
Giovane Francesco Contrini,,
Domenico Bordonaro,,
Federigo Riccioli,Q116822018,male
Agnolo Nannini,,
Francesco Solincorte,,
Antonio Schinella Conti,Q2087202,male
Giambattista Mamiani,,
Paolo Regio,Q25999351,male
Gennaro Sacco,,
Giuseppe Spinio,,
Niccolò Rodiani,,
Giammaria Muti,,
Giovanni Vincenzo Piccino,,
Giuseppe di Lauro,,
Antonio Dattomo,,
Giuliano Bezzi,Q55225623,male
Pietro Benedetti,Q3903690,male
Bartolommeo Abati,,
Flamminio Guarnieri,,
Porzio Mari,,
Tommaso Cervioni,Q64745801,male
Voltaire,Q9068,male
Battista Guarnelli,,
Giovanni Stochmar,,
Celso Pistoresli,,
Giovanni Antonio Quaretti,,
Glicerio dell'Annunciazione,,
Orazio Celli,,
Giambatista Berbanni,,
Giulio Serafini,Q1352290,male
Giovanni Jacopo Ricci,,
Luca de' Carli,,
Michelangelo Jacobilli,,
Giovanni Battista Grappelli,Q105871724,male
Francesco Sacrati,Q1402807,male
Carlo Tinti,,
Angiolo Lottini,,
Francesco Savino,Q125808925,male
Girolamo Falconi,,
Paolo Abbondio,,
Silbo Tropei,,
Giovanni Antonio Bergamori,,
Giulio Brigida,,
Giorgio Marras,Q1647352,male
Lodovico Seragone,,
Selvaggio Selvaggi,,
Dilettevole della Congrega de' Rozzi,,
Paolo Pedrusi,Q19860465,male
Gianantonio Bianchi,,
Caraeli,,
Maffeo Gallader,,
Giovanni Artico,,
Carlo Innocenzo Frugoni,Q2259161,male
Mario Podiani,Q87649669,male
Alessandro Caperano,Q88570915,male
Francesco Gentile,,
Benedetto Arsille,,
Claudio Achillini,Q712713,male
Antonio Rigo,,
Pietro Francesco Valentini,Q3903896,male
Vincenzo Jacobilli,Q109859379,male
Michele Bertolucci,,
Innocenzo Cibo Ghisi,Q97063849,male
Giambattista Cappellari,,
Marc'Antonio Ferretti,,
Isabella Andreini,Q2632451,female
Venturiano Carli,,
Traffillicense,,
Marcello di Giovanni Roncaglia,,
Iacopo Angelo Nelli,Q3791424,male
Francesco Majorana,,
Mariano Maniscalco,,
Vincenzo Marascia,,
Muzio Pansa,Q21206609,male
Lorenzo Arpa,,
Giovanni Bonifacio,Q15695516,male
Giovanni Cendoni,Q21418789,male
Cattarino Dolce,,
Rota Veneziano,,
Ambrogio Ambrogini,,
Giovanni Domenico di Lega,,
Antonio Persiani,,
Bernardino Faso,Q110779899,male
Giuseppe Mauro,,
Conte Landini,,
Jacopo Pagnini,,
Costantino della Santissima Trinità,,
Raffaella de Sergini,,
Giacomo de' Belli,,
Maria Isabella Clementini Liberati,,female
Antonio Cospi,,
Sebastiano Combo,,
Giambatista Venciveneri,,
Antonino Ruffo,,
Giovanni Francesco Tranquillo,Q3767290,male
Giambattista Calamari,,
Francesco Balducci,Q3749593,male
Francesco Petrei,,
Onofrio de Castro,,
Domenico Ruggieri,,
Nicola Vaccaro,Q7029132,male
Lorenzo Valeri,,
Bartolomeo Maiullari,,
Giovanni Matteo Giannini,Q113127085,male
Giovanni Fratta,Q15630918,male
Giambattista Pescatore,,
Cesare Caporali,Q3665373,male
Filippo Pelalogo,,
Eustachio Manfredi,Q3541151,male
Antonio Rosa Bustagatti,,
Giambattista Lampugnani,,
Giovanni Francesco Ferrenti,,
Giambattista Bertani,,
Giovanni Boccaccio,Q1402,male
Jacopo Lachi,,
Ippolito Zanella,,
Gregorio Belsensi,Q21556036,male
Benedetto de Sanctis,Q23616686,male
Niccolò Piperno,,
Mario Cevoli,,
Ferrante Scarnelli,,
Marc'Antonio dalle Tovaglie,,
Orazio Comite di Benevento,,
Cesare Asti,Q62077981,male
Giovanni Carlo Coppola,Q15921916,male
Jacopo Micalori,,
Giuseppe Filippo Liberati Marchi,Q16853761,male
D. B. Q. A. G.,,
Tiberio Gambaruti,Q3991118,male
Giuseppe Prescimonio,,
Annibale Niccolini,,
Giandommenico Bommattei Pioli,,
Massimiliano Pellegrini,,
Novello De Bonis,Q112499010,male
Cesare Bigolotti,Q31802237,male
Antonio della Sorte,,
Giovanni Battista Martinengo,Q113127082,male
Giovanni Francesco Alberti de Bormio,Q11924260,male
Tommaso Agostino Ricchini,Q87193344,male
Compassionevole,,
Girolamo Pico della Mirandola,Q112604170,male
Luca Raimondi Reggianono,,
Santo Ognibene,,
Domenico Federici,Q22808336,male
Domenico Lalli e Giovanni Boldrini,,
Ubaldino Ubaldini,Q55220596,male
Belisario,,
Giacomo Grisaldi,,
Antonio Borio,,
Giovanni di Bernardo Rucellai,Q1248954,male
Poliziano,Q250414,male
Valeriano Bulzè,Q25375493,male
Cesare Galletti,,
Francesco Melosio,Q3750280,male
Orazio Comite,,
Giorgio Jacopo Alcaino,,
Bernardino Percivallo,,
Guidobaldo Mercati,,
Accademici Intronati di Siena,,
Viviano de’ Viviani,Q68912194,male
Rossetti,,
Marino Negro,,
Giammaria Casini,,
Otto Mandelli,,
Giuseppe Maria Tomasi,Q772122,male
Giovanni Paolo Giovanello,,
Francesco Muazzo,,
Giovanni Andrea Bontempi,Q875506,male
Vincenzo Bilotta,,
Lodovico Zermignasi Malombra,,
Quirico Pandolfi,,
Filippo Mengarello,,
Pietro Bisensi,,
F. F. C.,,
Accademici di Padova,,
Girolamo Frassia,,
Giambattista Filauro,,
Curzio Fajani,,
Luigi Rusca,Q75195726,male
Placido Grano,,
Francesco Principato,,
Giovanni Paolo Vesio,,
Giammaria Guicciardi,,
Scipione de' Barbieri,,
Giustino d'Antonio Berti,,
Giovanni Domenico Bregolini,,
Enea Piccolomini (attr.),,
Marc'Antonio Marzi,,
Giambattista Maccioni,,
Pietro Bagliani,,
Giacomo d’Aquino,Q30524058,male
Francesco Torretti,,
N. N. detto l'Accademico Moschino,,
Livio Rocco,,
Tirinto Accademico Rinato,,
Andrea Abbattonio,,
Negrone,,
Antonio Nucci,,
Lelio Mancini,,
Accademico Principiante,,
Antonio Maria Campeggi,,
Giovanni Francesco Marcello,,
Giuseppe Salio,Q40687099,male
Niccolò Margantoni,,
Francesco Arrigoni,Q21542375,male
Giulio Maria Gatti,,
Lorenzo Cerasoli,,
Tommaso Verneri,,
Angelo Grossi,,
G. I. S.,,
Pietro Cotta,Q87268492,male
Simone Balsarino,,
Berlingero Gessi,,
Agostino delli Pennacchi,,
Marcello Roncaglia,,
Usiero Rosati,,
Orazio Leotardo,,
Ridolfo de Mori,,
Camillo Gessi,Q94918792,male
Guarino Guarini,Q323281,male
Giovanni Roncaglia,,
Lazzaro Agostino Cotta,Q63034153,male
Giambattista Guizzardi,,
Girolamo Cariddi,,
Aristophanes,Q43353,male
Giovanni Giacomo Ricci,,
Bartolomeo Malombra,,
Angelo degl'Oldradi,,
Giovanni Giacinto Ricci,,
Francesco Bocchino,,
Francesco Baeli,,
Giovanni Francesco Parigiano,,
Antonio Basso,Q3619229,male
Niccolò Alticozio,,
Filippo Francesco d'Este,Q29545621,male
Domenico Rossi,,
Filippo Itto,,
Giuseppe Leggiadro Galanni,,
Orazio Perfetti,,
Doroteo de' Magri,,
Giovanni Pietro Petrone,,
Alfonso Guarini,Q88472451,male
Giambattista Guerniere,,
Sebastiano Fantone Castruccio,,
Borso Argenti,Q86837482,male
Gino Angelo Capponi,Q31074966,male
Giulio Cesare Procaccini,Q1119589,male
Poliziano Mancini,Q34485409,male
G. P.,,
Girolamo Lunensi,,
Arcadio Berlinzi,,
Antonio del Giudice,Q606143,male
Isabella Mestrilli,,female
Tommaso Barbaro,,
Gaetano Zati,,
Gasparo Asiani,,
Gianfrancesco,,
Gaspero Cesana,,
Giovanni Paolo Landarini,,
Accademico Acceso di Lucca,,
Cristoforo Mercadanti,,
Diamante Gabrieli,,
Ottone Ageni,,
Giambatista Ranucci,,
Dionisio Guazzoni,,
Ferdinando Bevilacqua,,
Girolamo Campana,,
Procolo Assanti,,
Aurelio Schioppi,,
Francesco Vinta,,
Fabrizio Marrotta,,
Virgilio Puccitelli,Q56043193,male
Gennaro Paolella,,
Aniello Paulella,,
Elvezio Sandri,,
Giuseppe di Bernardo,,
Cesare de' Leonardis,,
Claudio Forzatè,,
Carlo Ruggieri,,
Leone Rossi,,
Giovanni Chiericato,,
Pietro Ingegneri,,
Gentilesco Gregoli,,
Andrea Volpino,,
Giacomo Pagnini,,
Francesco Miedel,,
Antonio Zanelli,,
Giambattista Sanuti Pellicani,,
Santo Laurente,,
Pandolfo Sprani,,
Accademici Innominati di Firenze,,
Lorenzo Verlato,,
Giuseppe Malatesta Garuffi,Q3770860,male
Niccolò Pavaroni,,
Angelo Cenni,Q67440269,male
Romano Marighi,,
Giulio Cesare Cortese,Q3769565,male
Francesco Folchi,,
Ottavio Malvezzi,,
Bartolomeo Pedoni,,
Tobia de' Ferrari,,
Ginnesio Soderini,,
Giovanni Oranti,,
Daniele Teofilo Piccigallo,,
Paolo Capogreco,,
Angelo degli Oldradi,,
Orazio Comite Beneventano,,
Battista Brunelleschi,Q121133955,
Ippolito Salviano,,
Lorenzo Stellando,,
Catuffio Panchianio,,
Antonio Mirandola,Q109876861,male
Andrea Minutolo,,
Agostino Beccari,Q20534656,male
Paolo Belli,Q110215364,male
Giovanni Francesco Manzoni,Q121297282,male
Francesco Maria Dario,,
Dionisio Brancati,,
Francesco Geronimo Prenesti,,
Giuseppe Stecco,,
Girolamo Ronconi,,
Recupido Macchiavella,,
Antonio Scillano,,
Domenico Lazzarini,Q27435874,male
Alessandro Roselli,Q115546272,male
Girolamo da Carpi,Q2701846,male
Malatesta Porta,,
Carlo Maderni,,
Giovanni Maria Avanzi,Q55225192,male
Vincenzo Pio Arcadio,,
Agostino Sanpier,,
Pier' Antonio Legacci,,
Antonio Cataneo,,
Alessandro Salvio,Q434318,male
Adriano Banchieri,Q347804,male
Bellisario Bulgarini,Q55226085,male
Troilo Lancetta,,
Alessandro Benedetti,,
Apollo Massici,,
Podalirio Podaliri,,
Assuero Rettori,,
Giacomo Cordelli,Q19288497,male
Luca Carli,Q110815031,male
Francesco Ippoliti,,
Carlo Rota,Q608695,male
Bartolomeo Lupardi,Q104283270,male
Giovanni Francesco Bortolotti,,
Napoleon dalla Luna,,
Federico Crominaolo,,
Ottaviano Janida,,
M. P. S.,,
Giambattista Viscardo,,
Filippo Rocco,,
Vincenzo Geremia,Q4013294,male
Francesco Scarselli,,
Antonio Girapoli,,
Ottonello De' Belli,Q124985602,male
Nicola Sabbioni,,
Giambattista Benedetti,,
Orazio Lancelloti,,
Giuseppe Manfredi,,
Lodovico Fenarolo,,
Orsetta Pellegrini,,
Ventura Terzago,Q94834741,male
Pietro Lunardi,Q1055104,male
Giulio Celare Monti,,
Bernardino Azzi,,
Pietr'Antonio Rovislari,,
Pietro Robert,,
Agostino Argenti,Q3606714,male
Orazio Pugliese,,
Anton Francesco Doni,Q601844,male
Antonio Uso di Mare,,
Giovanni Grimani,Q87187400,male
Alessandro Turramini,,
Enrico Bissaro,,
Bernardino Cenati,,
Gian Giorgio Trissino,Q436738,male
Spino Talucci,,
Accademici Sfaccendati,,
Giovan Domenico Peri,Q3766116,male
Niccolò Zoppio Turchi,,
Galeotto dal Carretto,,
L. P.,,
Giovanni Antonio Gessan,,
Brancaleone Masotti,,
Domenico Fortuna,,
Angelo Leonico,Q87746451,male
Maurizio Barracco,,
Tiborzio Sacco,,
Massimo Ferroni,Q95896365,male
Pietro Lupi,,
Pietro Girolamo Gentile Riccio,Q106684896,male
Bernardino Bizzarri,,
D. G.,,
Paolo Sisinio,,
Paolo Serenio Bartolucci,,
Francesco Revelli,,
Felice Arduini,,female
Vincislao Calvi,,
Valacca da Sarope,,
Filippo Clemente,,
Pastore Incognito,,
Giammaria Cecchi,,
Annibale Caro,Q566851,male
Giambattista Ruffini,,
Francesco Pier Guidi,,
Carlo Saraceni,Q938607,male
Francesco Zavoni,,
Flamminio Ruschi,,
Carlo Maria Micheli,,
Marco Amerighi,,
Nicodemo di Fiorenza,,
Giuseppe Maria Ercolani,Q3770909,male
Benedetto Varchi,Q176833,male
Decio Memmoli,Q24251172,male
Francesco Gemma,,
Ambrogio Leoni,,
Giambattista Velo,,
Ottanio Asinari,,
Andrea Fiamma,Q113844830,male
Susanna Christina Cosmerovius,Q106080028,female
Domenico Benedetti,,
M. P.,,
Sebastiano Gaudio,,
Pietro Francesco Manfredo Trecchi,,
Flamminio Malegazzi,,
Paolo Fei,,
Serafino Filocalo d'Arzè,,
Giuseppe Castaldo,,
Agostino Faustini,,
Francesco Giattini,,
Pier Antonio Toniani,,
Alessandro Pegolotti,Q15629920,male
Michelangelo Mercuri,,
Simone Vagnoni,,
Gregorio Chiave,,
Fabio Ametrano,,
Gioseppe Santa Fiore,,
Giovanni Domenico Pallavicini,Q113950113,male
Luca Antonio Casar,,
Matteo Maria Boiardo,Q319557,male
Giovanni Manetti,Q93221006,male
Giovanni Mocenigo,Q538920,male
Pietro Cresci,Q110682238,male
Giambattista Pona,,
Baldassarre Castiglione,Q211133,male
Cangiato Accademico Unanime di Salò,,
Giambattista Mancinelli,,
Francesco Battistella,,
Antonio Maria Prati,,
Domenico Geri,,
Giovanni Vittorio de' Rossi,,
Francesco Mico,,
Timido Accademico Dubbioso,,
Pier Antonio Legazzi,,
Antonio Medolago,,
Biagio Brina,,
Matteo Anna,,
Giammaria Piantini,,
Farnabio Gioachino Annutini,,
Pietro Matteazzi,,
Alessandro Benetti,Q100906497,male
Biagio de Avitabile,,
Santo Aricci,,
Gentiluomo senese,,
Biagio Maggi,,
Angiolo Vandani,,
Giambattista Candi,,
Claudio Cornelio Frangipani,,
Giuseppe Baroncini,,
Andrea Rosello,,
Gregorio Urbani,,
Luigi Eredia,Q48809843,male
Giuseppe Spedazzi,,
Camillo Morello,,
Ercole Marliani,,
Agostino Ricchi,Q29867393,male
Fabio Ottinelli,Q106160653,male
Ridolfo Martellini,,
Agnolo Firenzuola,Q302218,male
Angiolo Alatini,,
Andrea Ferraro,,
Giambattista Grasseo,,
Alessandro Terzi,,
Giambattista Diana Paleologo,,
Giambattista Roselli,,
Giuseppe Scoma,,
Giovanni Giacomo Ginnari,,
Cesare Tomeo,,
Clement IX,Q155961,male
Flaminio Temporini,,
Geronimo d'Aralia,,
Francesco Palma,,
Paolo Castelli,Q41568686,male
Pietro Paolo Platania,,
Orazio Falteri,,
Celio Magno,Q3664263,male
Ettore Secondino Albergante,Q7002582,male
Girolamo Cabassi,,
Andrea Cecchini,Q107400639,male
Gioachino Bona e Fardella,,
Lodovico Martelli,Q19357719,male
Ippolito Pratissoli,,
Pietro Carocci,,
Decio Crisignano,,
Antonio da Imola,Q97572176,male
Bastiano Linaiuolo,,
Antonio Pietro di Mico,,
Luca Rizzi,,
Osvaldo Fanese,,
Giovanni Battista Sogliani,,
Giovan Battista Cini,Q3106940,male
Niccolò Buonaparte,Q3339571,male
