Name,Label
Carlo Maria Maggi,author
Alessandro Sozzini,author
Luisa Bergalli,author
Luigi Riccoboni,author
Jean Racine,author
Jean Racine,author
Ferdinando Obizzi,author
Antonio Buzzacarini,author
Francesco Rossi,author
Giacomo Antonio Bergamori,author
Giuseppe Domenico de Totis,author
Silvio Stampiglia,author
Apostolo Zeno,author
Pietro Pariati,author
Pietro Pariati,author
Carlo Turco,author
Grazio Braccioli,author
Grazio Braccioli,author
Giovanni Battista Carminati,author
Giovanni Ambrogio Marini,author
Silvio Stampiglia,author
Domenico Regi,author
Giambattista Andreini,author
Bartolomeo Vitturi,author
Bartolomeo Vitturi,author
unknown,author
unknown,author
Francesco Maria Gasparri,author
unknown,author
unknown,author
Lodovico Dolce,author
Gigio Artemio Giancarli,author
unknown,author
Giambattista della Porta,author
Lelio Manfredi,author
Giovanni Villifranchi,author
Pietro Ottoboni,author
Nicola Serino,author
Ludovico Ariosto,author
unknown,author
Ottavio Tronsarelli,author
unknown,author
Girolamo Allè,author
Alessandro Donzellini,author
Pietro Metastasio,author
Giambattista Neri,author
Francesco Berni,author
Luigi Tansillo,author
unknown,author
Pietro Bonarelli della Rovere,author
Jacopo Cicognini,author
Giacomo Sinibaldi,author
Valeria Miani,author
"Francesco Scipione, marchese di Maffei",author
Orlando Pescetti,author
Pietro Paolo Carrara,author
Giacomo Francesco Bussani,author
Francesco Passarini,author
unknown,author
unknown,author
Giovan Battista Ricciardi,author
Carlo Celano,author
Carlo Celano,author
Giambattista della Porta,author
Nicolò Minato,author
Girolamo Allè,author
Nicolò Minato,author
Giovanni Claudio Pasquini,author
Apostolo Zeno,author
Giovan Battista Fagiuoli,author
Girolamo Frigimelica,author
Nicolò Minato,author
unknown,author
Marcello Giovanetti,author
Benedetto Pasqualigo,author
unknown,author
Pierre Corneille,author
Giambattista della Porta,author
Giovan Battista Fagiuoli,author
Silvio Stampiglia,author
Pietro Pariati,author
unknown,author
unknown,author
Pietro Metastasio,author
Giorgio Maria Rapparini,author
Nicolò di Castelli,author
unknown,author
Girolamo Frigimelica,author
Pietro Metastasio,author
Antonio Zaniboni,author
Vincenzo Cassani,author
Pietro Metastasio,author
Giovanni Dolfin,author
Carlo Torre,author
Francesco Pona,author
Giovanni Capponi,author
Girolamo Bartolommei,author
Girolamo Magagnati,author
Marcello Ferro,author
Antonio Draghi,author
Cesare Cremonini,author
Carlo Bentivoglio,author
Francesco Coli,author
Francesco d'Ambra,author
Virgilio Verucci,author
unknown,author
Francesco Silvani,author
Girolamo Frigimelica,author
Florido de Silvestris,author
Lodovico Bartolaia,author
Carlo Celano,author
Antonio Landi,author
Antonio Zaniboni,author
Fulvio Testi,author
Pietro Antonio Bernardoni,author
unknown,author
Donato Cupeda,author
Domenico Gisberti,author
Nicolò Minato,author
unknown,author
Francesco Sbarra,author
Muzio Manfredi,author
Giuseppe Berneri,author
Antonio Alamanni,author
Onofrio Giliberto,author
Cristoforo Ivanovich,author
Giovanni Biavi,author
Giovanni Maria Cecchi,author
Girolamo Frigimelica,author
Silvio Fiorillo,author
unknown,author
Apostolo Zeno,author
